,Num Y,I=sY,s,C,Real Y,I=sY,s,C,L,n,Num Y_L,Real Y_L,k,K,,,Delta,,A,k_normalized,A_normalized
1380,817561,223603.730853255,0.273500975282891,538793.72388069,4578083.43757152,935571.524214547,0.204358775232552,2435827.03032758,21089194,0.047106352191554,38.7668205811943,217.081953799255,0.018955819786555,399762.9609077,139496.1727313,84107.5581219555,0.210393574059441,,45.4845006313948,9.23494135017738,1.39498358044112
1381,1087424,264118.28189297,0.24288435963614,657658.376554543,4743089.68899467,1006992.62977633,0.212307313545609,2652097.89858509,22126722,0.046890271410289,49.1452823423189,214.360251328447,0.023941118183493,529738.4664153,129975.5055076,134142.77638537,0.253224534161365,,42.7009304104581,11.6636908755084,1.30961307621861
1382,1378348,344451.826184322,0.249901930560586,799118.152505007,5185239.78817177,1181168.94538712,0.227794469231977,2709206.55574233,23170990,0.0450679060325,59.4859347831059,223.781538387949,0.032498176626174,753014.9256233,223276.459208,121175.366976322,0.160920272431547,,44.4034631719731,15.8325389516144,1.36182878078846
1383,1822532,442260.276648697,0.242662557721179,1019658.59835395,5440918.92054743,1269755.1586317,0.233371453824926,2945651.07303142,24209910,0.042913005459335,75.2804120296193,224.739328669434,0.032463268922082,785932.8189094,32917.8932861,409342.383362597,0.52083635332931,,42.7418989224639,15.8155325333437,1.3108695570147
1384,2232353,541353.3545163,0.24250347257638,1244046.76347292,5721462.26287342,1403290.26759123,0.245267766021491,3160019.99131645,24201525,-0.000346465770236,92.2401790796241,236.409162764471,0.03900140283997,943893.4258666,157960.6069572,383392.7475591,0.406182241609643,,41.7704303871885,19.0007961595639,1.28107517350356
1385,2727954,663439.941335074,0.243200560322892,1541545.82196643,6155434.50420177,1390955.20825518,0.225971896428384,3407947.17349251,24164868,-0.001516954282556,112.889257247339,254.72659334211,0.053388238079885,1290119.725953,346226.3000864,317213.641248674,0.245879227227807,,43.1628768002243,26.0098087557651,1.32378070738576
1386,3570728,889858.702284076,0.249209321540055,1880337.59939618,6639087.10583826,1420532.79927913,0.21396507932995,3668798.72892842,23406695,-0.032391288048142,152.551566976884,283.640518485769,0.069356832364873,1623414.2213307,333294.4953777,556564.206906376,0.342835611265106,,41.4932866381659,33.7894264841015,1.27257533347142
1387,4176626,1180618.41412001,0.282672763642233,2243247.29061359,6605304.26768312,1552147.52665278,0.234985015640651,3569032.74915166,24064901,0.027351286423327,173.556749724422,274.47876339417,0.069806169400144,1679878.5558037,56464.3344729999,1124154.07964701,0.669187707506142,,41.2236836087999,34.0083355692227,1.26430676299177
1388,4311645,1291394.08791777,0.299513083270484,2568903.91495334,6614956.82035111,1527425.45774312,0.230904826626223,3634037.3039555,24035523,-0.001222274214711,179.386360762776,275.215846992433,0.084356032819253,2027541.3670159,347662.8112122,943731.276705565,0.465455991210938,,47.3539572771859,41.0967726213548,1.45231874492625
1389,5469896,1367270.59130593,0.249962813060052,3053917.44963401,6895121.23754172,1532235.09962675,0.222220182479783,3724435.22335911,24155493,0.004966572199541,226.445223038917,285.447340592126,0.097660489514141,2359037.2708354,331495.9038195,1035774.68748643,0.439066690590958,,45.6752686042331,47.5784694646859,1.40083432489449
1390,6866811,1607602.6138033,0.234111964608215,3824482.64323172,6866811.14703959,1607602.6138033,0.234111959595156,3824482.64323172,24266673,0.004581592210848,282.972906916412,282.972912975734,0.122050512245255,2961759.8701381,602722.5993027,1004880.0145006,0.339284769380628,,44.1629319549335,59.4608587249537,1.35445182614027
1391,8533392,1650903.89269953,0.193463969860934,4732666.71856938,6280156.15118952,1208414.7801351,0.192417951248906,3755205.73966176,24357612,0.003733494071586,350.337791734264,257.831356833729,0.157798493077474,3843594.4685658,881834.5984277,769069.294271831,0.200091164809799,,40.8639365829884,76.8766450159249,1.2532735277764
1392,11804886,2203024.03994549,0.186619679338325,6149478.45913204,6435356.73646569,1166850.87852535,0.181318756101497,3854240.41555689,24418459,0.002491844387068,483.441072182319,263.544752617914,0.188224680887393,4596156.6530369,752562.1844711,1450461.85547439,0.315581466205247,,39.8499423142237,91.6997475299813,1.22217490437826
1393,12550960,2714299.81610612,0.216262327033639,7135438.75358795,6581447.19537998,1312783.71428239,0.199467332231113,3983450.11366284,25357014,0.03701362471149,494.969951903643,259.551349199869,0.153198377683946,3884653.4077091,-711503.2453278,3425803.06143392,0.881881265040378,,45.4712621541394,74.6355498619493,1.39457756392682
1394,12180016,2492059.12685871,0.204602286799846,7874563.19378734,6577726.27537833,1165736.34856463,0.177224818996833,4044044.94166235,26558433,0.04523681800052,458.611997176189,247.669968908871,0.164538172786444,4369876.0378912,485222.6301821,2006836.49667661,0.459243346784973,,46.2619531407401,80.1600981998101,1.41882760357108
1395,14906258,3193571.58118961,0.214243680821143,9064334.84264263,7509284.86457699,1453671.29875341,0.193583187343273,4399623.44939726,27421048,0.031458133912314,543.606429630261,273.851125769408,0.194035392992686,5320653.8249513,950777.787060101,2242793.79412951,0.421525975550578,,44.9365446035079,94.5306240681304,1.37817808293988
1396,17971871,3737295.90798059,0.207952522471399,10716902.806421,7869763.28277953,1582985.49917283,0.201147790891842,4832652.44127964,27769359,0.012542997481505,647.183501786988,283.397369121107,0.241786313294167,6714250.9351522,1393597.1102009,2343698.79777969,0.349063331176579,,44.7104171424802,117.794030946157,1.37124288323797
1397,25829712,5044927.78765499,0.195314906633686,13196305.8157409,7482717.31877339,1434116.58783047,0.191657191730658,4931016.17631412,28212245,0.01569836076498,915.54968418855,265.22941789189,0.351760091362665,9923941.8787459,3209690.9435937,1835236.84406129,0.184930228984091,,44.7104171441981,171.371317603015,1.37124288329066
