,time,actual,predicted
0,1371.0,1.04319129650384,244.661467836520
1,1372.0,1.03213054655992,35.3965456034184
2,1373.0,1.850567200185,41.9234874319623
3,1374.0,3.09471356661043,46.1697522879589
4,1375.0,3.26793228787304,43.3296623970068
5,1376.0,3.33081489197162,39.8927191031204
6,1377.0,4.11491269291146,48.8201105985017
7,1378.0,5.60594464039709,52.0049121436087
8,1379.0,6.30965929854834,49.6349219452491
9,1380.0,9.23494135017738,57.2672025582040
10,1381.0,11.6636908755084,56.4824118297593
11,1382.0,15.8325389516144,63.1164989527602
12,1383.0,15.8155325333437,58.3834182707705
13,1384.0,19.0007961595639,63.6141977583025
14,1385.0,26.0098087557651,76.1213797778852
15,1386.0,33.7894264841015,89.1618420285752
16,1387.0,34.0083355692227,85.1979481255464
17,1388.0,41.0967726213548,97.8730091035939
18,1389.0,47.5784694646859,98.0023384762624
19,1390.0,59.4608587249537,136.899321696161
20,1391.0,76.8766450159249,163.910644679073
21,1392.0,91.6997475299813,181.912048833764
22,1393.0,74.6355498619493,193.675646012292
23,1394.0,80.1600981998101,201.287266634636
24,1395.0,94.5306240681304,206.190431098820
25,1396.0,117.794030946157,209.346597219877
26,1397.0,171.371317603015,211.383364990433
