,time,actual,predicted
0,1371.0,0.322176557012896,0.339890325337411
1,1372.0,0.259725300941335,0.290906004274707
2,1373.0,0.248881359403215,0.269685587855617
3,1374.0,0.226982980168542,0.226900904293049
4,1375.0,0.227038621974962,0.223947158546850
5,1376.0,0.215047259343091,0.212745028714862
6,1377.0,0.281618779627545,0.262487313849644
7,1378.0,0.264553306791223,0.278827630402775
8,1379.0,0.249287285581838,0.264125633332787
9,1380.0,0.273500975282891,0.234758462884140
10,1381.0,0.24288435963614,0.236990880135684
11,1382.0,0.249901930560586,0.232907669199719
12,1383.0,0.242662557721179,0.209840913646623
13,1384.0,0.24250347257638,0.181520789264349
14,1385.0,0.243200560322892,0.187817459879729
15,1386.0,0.249209321540055,0.171506299432599
16,1387.0,0.282672763642233,0.170617750397146
17,1388.0,0.299513083270484,0.194658218043525
18,1389.0,0.249962813060052,0.180825337484821
19,1390.0,0.234111964608215,0.132795323999418
20,1391.0,0.193463969860934,0.0851943489064660
21,1392.0,0.186619679338325,0.0291488330381871
22,1393.0,0.216262327033639,-0.0137828476429031
23,1394.0,0.204602286799846,-0.0477063080272189
24,1395.0,0.214243680821143,-0.0787052458201286
25,1396.0,0.207952522471399,-0.129138355464901
26,1397.0,0.195314906633686,-0.129759839824235
