,time,actual,predicted
0,1371.0,0.710375047043911,0.771950607301595
1,1372.0,0.908927441742042,0.887631809085215
2,1373.0,0.178159706379545,0.479040439780853
3,1374.0,0.040636583028776,0.218244074611024
4,1375.0,0.490360783125488,0.427566674111126
5,1376.0,0.538075741172839,0.506313117861785
6,1377.0,0.456933362637467,0.516742912754434
7,1378.0,0.294893837601081,0.434498890131924
8,1379.0,0.530343153591808,0.554627204226694
9,1380.0,0.210393574059441,0.399045220733760
10,1381.0,0.253224534161365,0.360319207255987
11,1382.0,0.160920272431547,0.265813366031588
12,1383.0,0.52083635332931,0.450358636275617
13,1384.0,0.406182241609643,0.473630046838707
14,1385.0,0.245879227227807,0.353065453867162
15,1386.0,0.342835611265106,0.361055660874644
16,1387.0,0.669187707506142,0.571975536842591
17,1388.0,0.465455991210938,0.496772520646551
18,1389.0,0.439066690590958,0.440725664069663
19,1390.0,0.339284769380628,0.440160841883377
20,1391.0,0.200091164809799,0.414748721441844
21,1392.0,0.315581466205247,0.412928140033412
22,1393.0,0.881881265040378,0.399669971801731
23,1394.0,0.459243346784973,0.385767915923662
24,1395.0,0.421525975550578,0.381005526345389
25,1396.0,0.349063331176579,0.395333672489400
26,1397.0,0.184930228984091,0.417314416387233
