,time,actual,predicted
0,1371.0,0.019353296631048,0.0235533341237607
1,1372.0,0.019430963872501,0.0402584672501170
2,1373.0,0.020246489145898,0.0354615711312388
3,1374.0,0.025152989839303,0.0357171333808181
4,1375.0,0.041219196955018,0.0139667741321547
5,1376.0,0.041765896325819,0.00763400895035447
6,1377.0,0.043201818966435,0.0139810287187670
7,1378.0,0.044836855817919,0.0256889087812986
8,1379.0,0.046632874130308,0.0225150513070935
9,1380.0,0.047106352191554,0.0184891184383528
10,1381.0,0.046890271410289,0.0224661557981123
11,1382.0,0.0450679060325,0.0277522227671759
12,1383.0,0.042913005459335,0.0410259588201340
13,1384.0,-0.000346465770236,0.0210392652190825
14,1385.0,-0.001516954282556,-0.0127060261279378
15,1386.0,-0.032391288048142,-0.0245750693390189
16,1387.0,0.027351286423327,0.0226198256926989
17,1388.0,-0.001222274214711,0.00568738964902452
18,1389.0,0.004966572199541,-0.0155666413032064
19,1390.0,0.004581592210848,-0.0214536570207718
20,1391.0,0.003733494071586,-0.0208290228113450
21,1392.0,0.002491844387068,-0.00694003611873057
22,1393.0,0.03701362471149,-0.00927450063904646
23,1394.0,0.04523681800052,-0.0211653336713461
24,1395.0,0.031458133912314,-0.0291075333074863
25,1396.0,0.012542997481505,-0.0367306025932370
26,1397.0,0.01569836076498,-0.0402045500374346
